,名词,动词,形容词,数量词,副词,介词,代词,连词,助词,标点
0,范围,设置,所有,号,可以,沿,,或,了,！
1,标记区域,击败,全部,只,中,以,,并且,被,。
2,能谱,为,单纯,个,不,从,,或者,把,.
3,可见光,召唤,善良,辆,重新,,,,将,？
4,坐标,求解,美丽,,,于,,和,的,
5,Y方向,进入,天真,,依次,按,,,,?
6,圆形,相交,聪明,,上面,绕,,,着,","
7,衍射环,描述,,,一下,根据,,,,"
"
8,波长,回忆,勇敢,,里,对,,,,!
9,区域,有,什么,,下面,按照,,,,，
10,像,记住,什么样,,都,在,,,,
11,圆柱体,显示,正义,,分别,,,,,
12,光栅压缩器,置顶,哪些,,,,,,,
13,相位,标记,,,,,,,,
14,发射角分布,放映,,,,,,,,
15,网格,添加,,,,,,,,
16,方向,调换,,,,,,,,
17,二维函数,朝向,,,,,,,,
18,来源,吃,,,,,,,,
19,类,减去,,,,,,,,
20,标记点,平行,,,,,,,,
21,物,对齐,,,,,,,,
22,变量,思考,,,,,,,,
23,位置,垂直,,,,,,,,
24,参考面,交换,,,,,,,,
25,程序流程图,积分,,,,,,,,
26,多边形,相距,,,,,,,,
27,截面分布,结束,,,,,,,,
28,球体,准备,,,,,,,,
29,平面,输入,,,,,,,,
30,三维箭头,接触,,,,,,,,
31,屏幕,代入,,,,,,,,
32,光标,复制,,,,,,,,
33,长度,背向,,,,,,,,
34,相机,追逐,,,,,,,,
35,红外线,微分,,,,,,,,
36,像距,距离,,,,,,,,
37,顺序,乘以,,,,,,,,
38,透镜组,引用,,,,,,,,
39,X方向,连接,,,,,,,,
40,波包,加上,,,,,,,,
41,和式,捕捉,,,,,,,,
42,倍率,除以,,,,,,,,
43,,挑衅,,,,,,,,
44,长方形,跑,,,,,,,,
45,采样点,到,,,,,,,,
46,Y坐标,运行,,,,,,,,
47,光强,定义,,,,,,,,
48,IP图像,看,,,,,,,,
49,场强,奔跑,,,,,,,,
50,Z方向,相切,,,,,,,,
51,参数,固定,,,,,,,,
52,FROG,查看,,,,,,,,
53,立方体,经过,,,,,,,,
54,反演,离开,,,,,,,,
55,光谱,执行,,,,,,,,
56,函数,解析,,,,,,,,
57,X坐标,裁剪,,,,,,,,
58,光束传播图,偏微分,,,,,,,,
59,成像示意图,是,,,,,,,,
60,线段,计算,,,,,,,,
61,波前,封印,,,,,,,,
62,Javascript,使用,,,,,,,,
63,,更新,,,,,,,,
64,,优化,,,,,,,,
65,,修改,,,,,,,,
66,,提取,,,,,,,,
67,,旋转,,,,,,,,
68,,记作,,,,,,,,
69,,清空,,,,,,,,
70,,转换,,,,,,,,
71,,分析,,,,,,,,
72,,移动,,,,,,,,
73,,替换,,,,,,,,
74,,到达,,,,,,,,
75,,在,,,,,,,,
76,,截取,,,,,,,,
77,,玩耍,,,,,,,,
78,,相同,,,,,,,,
79,,化简,,,,,,,,
80,,整理,,,,,,,,
81,,合并,,,,,,,,
82,,保存,,,,,,,,
83,,平移,,,,,,,,
84,,拍摄,,,,,,,,
85,,反射,,,,,,,,
86,,获取,,,,,,,,
